WindID,SeriesID,SeriesName
股票市场,,
M0332214,市盈率:科创50,
M0330956,市盈率:中证500,
M0330172,市盈率:沪深300,
000300.SH,市盈率:沪深300-WIND口径,
M0330176,市净率:沪深300,
M0071676,市净率:创业板,
M0020188,上证综合指数,
M0020209,沪深300指数,沪深300指数
M0020251,深证成份指数,
M0020286,中小板综指,
M0062531,创业板指数,
M0062536,中证100指数,
M0062541,中证500指数,
M0332208,上证科创板50成份指数,
M0062601,Wind行业指数:能源,
M0062602,Wind行业指数:材料,
M0062603,Wind行业指数:工业,
M0062604,Wind行业指数:可选消费,
M0062605,Wind行业指数:日常消费,
M0062606,Wind行业指数:医疗保健,
M0062607,Wind行业指数:金融,
M0062608,Wind行业指数:信息技术,
M0062609,Wind行业指数:电信服务,
M0062610,Wind行业指数:公用事业,
M0331318,Wind行业指数:房地产,
资金面利率,,
M0041371,7天OMO,逆回购利率:7天
M0329545,MLF利率,中期借贷便利(MLF):利率:1年
M0220162,DR001,存款类机构质押式回购加权利率:1天
M0220163,DR007,存款类机构质押式回购加权利率:7天
M1010885,1年期NCD,中债商业银行同业存单到期收益率(AAA):1年
M0017142,3个月SHIBOR,SHIBOR:3个月
DR001,DR001,
DR007,DR007,
R007,R007,
CD1Y,1年期NCD,
shibor1Y,1年期Shibor,
公开市场投放,,
M0041372,7天OMO量,逆回购数量:7天
M0041374,14天OMO量,逆回购数量:14天
M5528818,MLF当月投放,中期借贷便利(MLF):投放:当月值
M5528819,MLF当月收回,中期借贷便利(MLF):收回:当月值
omo_net,公开市场净投放量,
omo_net_7d,公开市场净投放量（7天）,
omo_net_14d,公开市场净投放量（14天）,
mlf_net,MLF净投放,
国债、信用债利率,,
S0059744,1年期国债,中债国债到期收益率:1年
S0059746,3年期国债,中债国债到期收益率:3年
S0059747,5年期国债,中债国债到期收益率:5年
S0059748,7年期国债,中债国债到期收益率:7年
S0059749,10年期国债,中债国债到期收益率:10年
M1004271,10年期国开债,中债国开债到期收益率:10年
M1001654,国债到期收益率:10年,
S0059736,1年期AAA,中债中短期票据到期收益率(AAA):1年
S0059738,3年期AAA,中债中短期票据到期收益率(AAA):3年
S0059739,5年期AAA,中债中短期票据到期收益率(AAA):5年
S0059715,1年期AA,中债中短期票据到期收益率(AA):1年
S0059717,3年期AA,中债中短期票据到期收益率(AA):3年
S0059718,5年期AA,中债中短期票据到期收益率(AA):5年
国债期货,,
M0330936,TS结算价,期货结算价(活跃合约):2年期国债期货
M0096851,TF结算价,期货结算价(活跃合约):5年期国债期货
S0213048,T结算价,期货结算价(活跃合约):10年期国债期货
汇率,,
M0067855,USDCNY,即期汇率:美元兑人民币
M0000271,美元指数,美元指数
M0048567,美元兑人民币1年期掉期点:买报价,买报价:美元兑人民币:1年
M0048602,美元兑人民币1年期掉期点:卖报价,卖报价:美元兑人民币:1年
M0000209,实际汇率,人民币:实际有效汇率指数
M0010049,外汇储备,官方储备资产:外汇储备
M0001681,中央银行外汇占款,货币当局:国外资产:外汇(中央银行外汇占款)
M5525771,外汇即期交易额,外汇市场交易额:即期:当月值
M5525772,外汇即期对客交易额,外汇市场交易额:即期:银行对客户市场:当月值
M5525773,外汇即期对客交易额：买入,外汇市场交易额:即期:银行对客户市场:买入外汇:当月值
M5525774,外汇即期对客交易额：卖出,外汇市场交易额:即期:银行对客户市场:卖出外汇:当月值
M5525775,外汇即期银行间交易额,外汇市场交易额:即期:银行间外汇市场:当月值
M0062676,银行代客结售汇顺差:当月值,
欧美利率,,
G0001699,美国联邦基金利率,美国:联邦基金利率(日)
G0000902,欧元隔夜,LIBOR:欧元:隔夜
G0000889,5年期美债,美国:国债收益率:5年
G0000891,10年期美债,美国:国债收益率:10年
G0008068,10年期德债,德国:国债收益率:10年
G0005426,5年期美债TIPS,美国:国债收益率:通胀指数国债(TIPS):5年
G0005428,10年期美债TIPS,美国:国债收益率:通胀指数国债(TIPS):10年
进出口,,
M0043623,出口金额:累计值,出口金额:累计值
M0043639,进口金额:累计值,进口金额:累计值
M0000604,当月进出口金额,进出口金额:当月值
M0000606,当月出口金额,出口金额:当月值
M0000608,当月进口金额,进口金额:当月值
M0000610,海关商品贸易差额,贸易差额:当月值
M0007453,工业企业:出口交货值:当月值,
M0054766,中美商品贸易顺差,美国:贸易差额:当月值
M0096210,累计商品贸易顺差,贸易顺差:累计值
M0009870,FDI当月值,实际使用外资金额:外商直接投资:当月值
M0043603,进出口金额:累计值,
M0043623,出口金额:累计值,
M0043639,进口金额:累计值,
M0096210,贸易差额:累计值,
M0041769,工业企业:出口交货值:累计值,
U8414400,美国:贸易差额:累计值,
M0009880,实际使用外资金额:外商直接投资:累计值,
M0000605,进出口同比,进出口金额:当月同比
M0000607,出口同比,出口金额:当月同比
M0000609,进口同比,进口金额:当月同比
M0007454,工业企业:出口交货值:当月同比,
M0043657,进出口金额:累计同比,
M0043677,出口金额:累计同比,
M0043693,进口金额:累计同比,
M0041770,工业企业:出口交货值:累计同比,
M0009881,实际使用外资金额:外商直接投资:累计同比,
M5469146,进出口金额:人民币:当月同比,
M5469147,出口金额:人民币:当月同比,
M5469148,进口金额:人民币:当月同比,
